session_id,video_id,trial_label,event_id,kind,hole_index,is_target,start_frame,end_frame,start_time_s,end_time_s,duration_s,point_used,min_nose_distance_cm,min_centroid_distance_cm,evidence_summary,source,auto_hole_index,auto_start_frame,auto_end_frame,tool_version,schema_version,parameters_hash
Salk Demo,vid_01,1,auto-investigation-h12-f1032,investigation,12,false,1032,1126,34.467,37.633,3.166,nose,1.07,0.6,"hole 12 (non-target). Event point within 1.5 × hole radius (3.7 cm) for 3.17 s, frames 1032–1126 (34.47 s–37.63 s). Nose used on 71 of 95 positioned frames, centroid on the rest. Closest approach: nose 1.1 cm, centroid 0.6 cm. Merged from 8 bouts at the same hole, the largest gap 0.33 s (merge gap 0.5 s).",auto,,,,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
Salk Demo,vid_01,1,auto-investigation-h6-f1348,investigation,6,false,1348,1386,45.033,46.3,1.267,nose,1.91,3.86,"hole 6 (non-target). Event point within 1.5 × hole radius (3.7 cm) for 1.27 s, frames 1348–1386 (45.03 s–46.30 s). Nose used on 34 of 39 positioned frames, centroid on the rest. Closest approach: nose 1.9 cm, centroid 3.9 cm. Merged from 4 bouts at the same hole, the largest gap 0.13 s (merge gap 0.5 s).",auto,,,,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
Salk Demo,vid_01,1,auto-investigation-h6-f1431,investigation,6,false,1431,1443,47.8,48.2,0.4,nose,2.52,3.87,"hole 6 (non-target). Event point within 1.5 × hole radius (3.7 cm) for 0.40 s, frames 1431–1443 (47.80 s–48.20 s). Nose used on 13 of 13 positioned frames, centroid on the rest. Closest approach: nose 2.5 cm, centroid 3.9 cm.",auto,,,,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
Salk Demo,vid_01,1,auto-investigation-h7-f1465,investigation,7,false,1465,1542,48.967,51.5,2.533,nose,1.71,3.66,"hole 7 (non-target). Event point within 1.5 × hole radius (3.7 cm) for 2.53 s, frames 1465–1542 (48.97 s–51.50 s). Nose used on 63 of 78 positioned frames, centroid on the rest. Closest approach: nose 1.7 cm, centroid 3.7 cm. Merged from 7 bouts at the same hole, the largest gap 0.20 s (merge gap 0.5 s).",auto,,,,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
Salk Demo,vid_01,1,auto-investigation-h8-f1557,investigation,8,false,1557,1594,52.033,53.267,1.234,nose,2.66,1.49,"hole 8 (non-target). Event point within 1.5 × hole radius (3.7 cm) for 1.23 s, frames 1557–1594 (52.03 s–53.27 s). Nose used on 24 of 38 positioned frames, centroid on the rest. Closest approach: nose 2.7 cm, centroid 1.5 cm. Merged from 4 bouts at the same hole, the largest gap 0.33 s (merge gap 0.5 s).",auto,,,,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
Salk Demo,vid_01,1,auto-investigation-h9-f1606,investigation,9,false,1606,1630,53.667,54.467,0.8,nose,1.94,1.75,"hole 9 (non-target). Event point within 1.5 × hole radius (3.7 cm) for 0.80 s, frames 1606–1630 (53.67 s–54.47 s). Nose used on 23 of 25 positioned frames, centroid on the rest. Closest approach: nose 1.9 cm, centroid 1.8 cm.",auto,,,,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
Salk Demo,vid_01,1,auto-investigation-h10-f1721,investigation,10,false,1721,1778,57.5,59.4,1.9,nose,2.07,1.94,"hole 10 (non-target). Event point within 1.5 × hole radius (3.7 cm) for 1.90 s, frames 1721–1778 (57.50 s–59.40 s). Nose used on 53 of 58 positioned frames, centroid on the rest. Closest approach: nose 2.1 cm, centroid 1.9 cm. Merged from 4 bouts at the same hole, the largest gap 0.13 s (merge gap 0.5 s).",auto,,,,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
Salk Demo,vid_01,1,auto-investigation-h11-f1786,investigation,11,false,1786,1807,59.667,60.367,0.7,nose,1.51,3.01,"hole 11 (non-target). Event point within 1.5 × hole radius (3.7 cm) for 0.70 s, frames 1786–1807 (59.67 s–60.37 s). Nose used on 16 of 22 positioned frames, centroid on the rest. Closest approach: nose 1.5 cm, centroid 3.0 cm. Merged from 3 bouts at the same hole, the largest gap 0.20 s (merge gap 0.5 s).",auto,,,,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
Salk Demo,vid_01,1,auto-investigation-h12-f1820,investigation,12,false,1820,1848,60.8,61.733,0.933,nose,0.95,3.26,"hole 12 (non-target). Event point within 1.5 × hole radius (3.7 cm) for 0.93 s, frames 1820–1848 (60.80 s–61.73 s). Nose used on 23 of 29 positioned frames, centroid on the rest. Closest approach: nose 1.0 cm, centroid 3.3 cm. Merged from 3 bouts at the same hole, the largest gap 0.13 s (merge gap 0.5 s).",auto,,,,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
Salk Demo,vid_01,1,auto-investigation-h13-f1936,investigation,13,false,1936,1967,64.667,65.733,1.066,nose,0.41,3.62,"hole 13 (non-target). Event point within 1.5 × hole radius (3.7 cm) for 1.07 s, frames 1936–1967 (64.67 s–65.73 s). Nose used on 26 of 32 positioned frames, centroid on the rest. Closest approach: nose 0.4 cm, centroid 3.6 cm. Merged from 4 bouts at the same hole, the largest gap 0.23 s (merge gap 0.5 s).",auto,,,,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
Salk Demo,vid_01,1,auto-investigation-h14-f2010,investigation,14,false,2010,2034,67.167,67.967,0.8,nose,1.28,3.46,"hole 14 (non-target). Event point within 1.5 × hole radius (3.7 cm) for 0.80 s, frames 2010–2034 (67.17 s–67.97 s). Nose used on 24 of 25 positioned frames, centroid on the rest. Closest approach: nose 1.3 cm, centroid 3.5 cm. Merged from 2 bouts at the same hole, the largest gap 0.07 s (merge gap 0.5 s).",auto,,,,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
Salk Demo,vid_01,1,auto-investigation-h15-f2080,investigation,15,false,2080,2105,69.5,70.333,0.833,nose,0.47,3.69,"hole 15 (non-target). Event point within 1.5 × hole radius (3.7 cm) for 0.83 s, frames 2080–2105 (69.50 s–70.33 s). Nose used on 25 of 26 positioned frames, centroid on the rest. Closest approach: nose 0.5 cm, centroid 3.7 cm. Merged from 2 bouts at the same hole, the largest gap 0.07 s (merge gap 0.5 s).",auto,,,,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
Salk Demo,vid_01,1,auto-investigation-h16-f2125,investigation,16,false,2125,2249,71,75.133,4.133,nose,1.14,2.92,"hole 16 (non-target). Event point within 1.5 × hole radius (3.7 cm) for 4.13 s, frames 2125–2249 (71.00 s–75.13 s). Nose used on 97 of 125 positioned frames, centroid on the rest. Closest approach: nose 1.1 cm, centroid 2.9 cm. Merged from 5 bouts at the same hole, the largest gap 0.27 s (merge gap 0.5 s).",auto,,,,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
Salk Demo,vid_01,1,auto-investigation-h17-f2258,investigation,17,false,2258,2348,75.433,78.433,3,nose,0.26,2.88,"hole 17 (non-target). Event point within 1.5 × hole radius (3.7 cm) for 3.00 s, frames 2258–2348 (75.43 s–78.43 s). Nose used on 75 of 91 positioned frames, centroid on the rest. Closest approach: nose 0.3 cm, centroid 2.9 cm. Merged from 2 bouts at the same hole, the largest gap 0.07 s (merge gap 0.5 s).",auto,,,,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
Salk Demo,vid_01,1,auto-investigation-h17-f2381,investigation,17,false,2381,2455,79.533,82.033,2.5,nose,0.85,3.07,"hole 17 (non-target). Event point within 1.5 × hole radius (3.7 cm) for 2.50 s, frames 2381–2455 (79.53 s–82.03 s). Nose used on 72 of 75 positioned frames, centroid on the rest. Closest approach: nose 0.9 cm, centroid 3.1 cm. Merged from 3 bouts at the same hole, the largest gap 0.13 s (merge gap 0.5 s).",auto,,,,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
Salk Demo,vid_01,1,auto-investigation-h18-f2485,investigation,18,false,2485,2519,83.033,84.167,1.134,nose,2.11,3.75,"hole 18 (non-target). Event point within 1.5 × hole radius (3.7 cm) for 1.13 s, frames 2485–2519 (83.03 s–84.17 s). Nose used on 28 of 35 positioned frames, centroid on the rest. Closest approach: nose 2.1 cm, centroid 3.8 cm. Merged from 2 bouts at the same hole, the largest gap 0.37 s (merge gap 0.5 s).",auto,,,,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
Salk Demo,vid_01,1,auto-investigation-h19-f2583,investigation,19,false,2583,2606,86.3,87.067,0.767,nose,0.21,2.23,"hole 19 (non-target). Event point within 1.5 × hole radius (3.7 cm) for 0.77 s, frames 2583–2606 (86.30 s–87.07 s). Nose used on 24 of 24 positioned frames, centroid on the rest. Closest approach: nose 0.2 cm, centroid 2.2 cm.",auto,,,,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
Salk Demo,vid_01,1,auto-investigation-h0-f2627,investigation,0,false,2627,2639,87.767,88.167,0.4,nose,1.78,4.19,"hole 0 (non-target). Event point within 1.5 × hole radius (3.7 cm) for 0.40 s, frames 2627–2639 (87.77 s–88.17 s). Nose used on 13 of 13 positioned frames, centroid on the rest. Closest approach: nose 1.8 cm, centroid 4.2 cm.",auto,,,,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
Salk Demo,vid_01,1,auto-investigation-h1-f2656,investigation,1,false,2656,2669,88.733,89.167,0.434,nose,1.95,4.2,"hole 1 (non-target). Event point within 1.5 × hole radius (3.7 cm) for 0.43 s, frames 2656–2669 (88.73 s–89.17 s). Nose used on 14 of 14 positioned frames, centroid on the rest. Closest approach: nose 1.9 cm, centroid 4.2 cm.",auto,,,,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
Salk Demo,vid_01,1,auto-investigation-h2-f2680,investigation,2,true,2680,2701,89.533,90.233,0.7,nose,0.62,2.71,"hole 2 (target). Event point within 1.5 × hole radius (3.7 cm) for 0.70 s, frames 2680–2701 (89.53 s–90.23 s). Nose used on 14 of 22 positioned frames, centroid on the rest. Closest approach: nose 0.6 cm, centroid 2.7 cm. Merged from 2 bouts at the same hole, the largest gap 0.07 s (merge gap 0.5 s).",auto,,,,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
Salk Demo,vid_01,1,auto-investigation-h3-f2738,investigation,3,false,2738,2746,91.467,91.767,0.3,nose,2.59,3.98,"hole 3 (non-target). Event point within 1.5 × hole radius (3.7 cm) for 0.30 s, frames 2738–2746 (91.47 s–91.77 s). Nose used on 8 of 9 positioned frames, centroid on the rest. Closest approach: nose 2.6 cm, centroid 4.0 cm. Merged from 2 bouts at the same hole, the largest gap 0.07 s (merge gap 0.5 s).",auto,,,,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
Salk Demo,vid_01,1,auto-investigation-h4-f2762,investigation,4,false,2762,2785,92.267,93.033,0.766,nose,0.97,3.37,"hole 4 (non-target). Event point within 1.5 × hole radius (3.7 cm) for 0.77 s, frames 2762–2785 (92.27 s–93.03 s). Nose used on 22 of 24 positioned frames, centroid on the rest. Closest approach: nose 1.0 cm, centroid 3.4 cm.",auto,,,,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
Salk Demo,vid_01,1,auto-investigation-h5-f2796,investigation,5,false,2796,2872,93.433,95.967,2.534,nose,1.71,2.65,"hole 5 (non-target). Event point within 1.5 × hole radius (3.7 cm) for 2.53 s, frames 2796–2872 (93.43 s–95.97 s). Nose used on 72 of 77 positioned frames, centroid on the rest. Closest approach: nose 1.7 cm, centroid 2.6 cm. Merged from 4 bouts at the same hole, the largest gap 0.43 s (merge gap 0.5 s).",auto,,,,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
Salk Demo,vid_01,1,auto-investigation-h6-f2890,investigation,6,false,2890,2967,96.567,99.133,2.566,nose,1.77,3.23,"hole 6 (non-target). Event point within 1.5 × hole radius (3.7 cm) for 2.57 s, frames 2890–2967 (96.57 s–99.13 s). Nose used on 40 of 78 positioned frames, centroid on the rest. Closest approach: nose 1.8 cm, centroid 3.2 cm. Merged from 9 bouts at the same hole, the largest gap 0.37 s (merge gap 0.5 s).",auto,,,,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
Salk Demo,vid_01,1,auto-investigation-h6-f3004,investigation,6,false,3004,3017,100.367,100.8,0.433,nose,1.77,3.53,"hole 6 (non-target). Event point within 1.5 × hole radius (3.7 cm) for 0.43 s, frames 3004–3017 (100.37 s–100.80 s). Nose used on 13 of 14 positioned frames, centroid on the rest. Closest approach: nose 1.8 cm, centroid 3.5 cm.",auto,,,,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
Salk Demo,vid_01,1,auto-investigation-h7-f3026,investigation,7,false,3026,3051,101.1,101.933,0.833,nose,1.86,3.02,"hole 7 (non-target). Event point within 1.5 × hole radius (3.7 cm) for 0.83 s, frames 3026–3051 (101.10 s–101.93 s). Nose used on 22 of 26 positioned frames, centroid on the rest. Closest approach: nose 1.9 cm, centroid 3.0 cm. Merged from 3 bouts at the same hole, the largest gap 0.37 s (merge gap 0.5 s).",auto,,,,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
Salk Demo,vid_01,1,auto-investigation-h7-f3066,investigation,7,false,3066,3160,102.433,105.567,3.134,nose,2.09,2.13,"hole 7 (non-target). Event point within 1.5 × hole radius (3.7 cm) for 3.13 s, frames 3066–3160 (102.43 s–105.57 s). Nose used on 61 of 95 positioned frames, centroid on the rest. Closest approach: nose 2.1 cm, centroid 2.1 cm. Merged from 8 bouts at the same hole, the largest gap 0.37 s (merge gap 0.5 s).",auto,,,,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
Salk Demo,vid_01,1,auto-investigation-h7-f3179,investigation,7,false,3179,3211,106.233,107.267,1.034,nose,3.65,3.61,"hole 7 (non-target). Event point within 1.5 × hole radius (3.7 cm) for 1.03 s, frames 3179–3211 (106.23 s–107.27 s). Nose used on 17 of 33 positioned frames, centroid on the rest. Closest approach: nose 3.7 cm, centroid 3.6 cm. Merged from 7 bouts at the same hole, the largest gap 0.27 s (merge gap 0.5 s).",auto,,,,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
Salk Demo,vid_01,1,auto-investigation-h8-f3226,investigation,8,false,3226,3282,107.8,109.667,1.867,nose,2.34,1.35,"hole 8 (non-target). Event point within 1.5 × hole radius (3.7 cm) for 1.87 s, frames 3226–3282 (107.80 s–109.67 s). Nose used on 52 of 57 positioned frames, centroid on the rest. Closest approach: nose 2.3 cm, centroid 1.3 cm. Merged from 5 bouts at the same hole, the largest gap 0.23 s (merge gap 0.5 s).",auto,,,,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
Salk Demo,vid_01,1,auto-investigation-h9-f3291,investigation,9,false,3291,3322,109.967,111,1.033,nose,1.83,1.52,"hole 9 (non-target). Event point within 1.5 × hole radius (3.7 cm) for 1.03 s, frames 3291–3322 (109.97 s–111.00 s). Nose used on 27 of 32 positioned frames, centroid on the rest. Closest approach: nose 1.8 cm, centroid 1.5 cm. Merged from 3 bouts at the same hole, the largest gap 0.13 s (merge gap 0.5 s).",auto,,,,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
Salk Demo,vid_01,1,auto-investigation-h10-f3328,investigation,10,false,3328,3348,111.2,111.867,0.667,nose,1.86,2.56,"hole 10 (non-target). Event point within 1.5 × hole radius (3.7 cm) for 0.67 s, frames 3328–3348 (111.20 s–111.87 s). Nose used on 20 of 21 positioned frames, centroid on the rest. Closest approach: nose 1.9 cm, centroid 2.6 cm. Merged from 2 bouts at the same hole, the largest gap 0.07 s (merge gap 0.5 s).",auto,,,,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
Salk Demo,vid_01,1,auto-investigation-h11-f3359,investigation,11,false,3359,3388,112.233,113.2,0.967,nose,2.18,3.59,"hole 11 (non-target). Event point within 1.5 × hole radius (3.7 cm) for 0.97 s, frames 3359–3388 (112.23 s–113.20 s). Nose used on 17 of 30 positioned frames, centroid on the rest. Closest approach: nose 2.2 cm, centroid 3.6 cm. Merged from 3 bouts at the same hole, the largest gap 0.20 s (merge gap 0.5 s).",auto,,,,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
Salk Demo,vid_01,1,auto-investigation-h11-f3422,investigation,11,false,3422,3432,114.333,114.667,0.334,nose,1.52,3.16,"hole 11 (non-target). Event point within 1.5 × hole radius (3.7 cm) for 0.33 s, frames 3422–3432 (114.33 s–114.67 s). Nose used on 11 of 11 positioned frames, centroid on the rest. Closest approach: nose 1.5 cm, centroid 3.2 cm.",auto,,,,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
Salk Demo,vid_01,1,auto-investigation-h12-f3443,investigation,12,false,3443,3463,115.033,115.7,0.667,nose,1.87,4.38,"hole 12 (non-target). Event point within 1.5 × hole radius (3.7 cm) for 0.67 s, frames 3443–3463 (115.03 s–115.70 s). Nose used on 21 of 21 positioned frames, centroid on the rest. Closest approach: nose 1.9 cm, centroid 4.4 cm.",auto,,,,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
Salk Demo,vid_01,1,auto-investigation-h13-f3476,investigation,13,false,3476,3496,116.133,116.8,0.667,nose,0.87,4.58,"hole 13 (non-target). Event point within 1.5 × hole radius (3.7 cm) for 0.67 s, frames 3476–3496 (116.13 s–116.80 s). Nose used on 21 of 21 positioned frames, centroid on the rest. Closest approach: nose 0.9 cm, centroid 4.6 cm.",auto,,,,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
Salk Demo,vid_01,1,auto-investigation-h14-f3511,investigation,14,false,3511,3528,117.3,117.867,0.567,nose,0.61,4.51,"hole 14 (non-target). Event point within 1.5 × hole radius (3.7 cm) for 0.57 s, frames 3511–3528 (117.30 s–117.87 s). Nose used on 18 of 18 positioned frames, centroid on the rest. Closest approach: nose 0.6 cm, centroid 4.5 cm.",auto,,,,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
Salk Demo,vid_01,1,auto-investigation-h15-f3546,investigation,15,false,3546,3598,118.467,120.233,1.766,nose,0.35,3.35,"hole 15 (non-target). Event point within 1.5 × hole radius (3.7 cm) for 1.77 s, frames 3546–3598 (118.47 s–120.23 s). Nose used on 44 of 53 positioned frames, centroid on the rest. Closest approach: nose 0.4 cm, centroid 3.4 cm. Merged from 5 bouts at the same hole, the largest gap 0.43 s (merge gap 0.5 s).",auto,,,,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
Salk Demo,vid_01,1,auto-investigation-h16-f3641,investigation,16,false,3641,3657,121.633,122.2,0.567,nose,0.39,4.77,"hole 16 (non-target). Event point within 1.5 × hole radius (3.7 cm) for 0.57 s, frames 3641–3657 (121.63 s–122.20 s). Nose used on 17 of 17 positioned frames, centroid on the rest. Closest approach: nose 0.4 cm, centroid 4.8 cm.",auto,,,,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
